Created as New Dataset,Sample 032 By Administrator Date Monday, February 10 2020
cm-1,A
4764.00,1.1482
4763.00,1.1481
4762.00,1.1481
4761.00,1.1480
4760.00,1.1479
4759.00,1.1479
4758.00,1.1478
4757.00,1.1477
4756.00,1.1477
4755.00,1.1477
4754.00,1.1476
4753.00,1.1476
4752.00,1.1475
4751.00,1.1474
4750.00,1.1473
4749.00,1.1472
4748.00,1.1471
4747.00,1.1471
4746.00,1.1470
4745.00,1.1468
4744.00,1.1467
4743.00,1.1466
4742.00,1.1465
4741.00,1.1465
4740.00,1.1464
4739.00,1.1464
4738.00,1.1464
4737.00,1.1463
4736.00,1.1462
4735.00,1.1462
4734.00,1.1461
4733.00,1.1460
4732.00,1.1460
4731.00,1.1459
4730.00,1.1459
4729.00,1.1458
4728.00,1.1458
4727.00,1.1458
4726.00,1.1458
4725.00,1.1458
4724.00,1.1458
4723.00,1.1458
4722.00,1.1458
4721.00,1.1457
4720.00,1.1456
4719.00,1.1456
4718.00,1.1455
4717.00,1.1455
4716.00,1.1455
4715.00,1.1455
4714.00,1.1455
4713.00,1.1455
4712.00,1.1455
4711.00,1.1455
4710.00,1.1455
4709.00,1.1454
4708.00,1.1455
4707.00,1.1455
4706.00,1.1456
4705.00,1.1457
4704.00,1.1457
4703.00,1.1458
4702.00,1.1458
4701.00,1.1458
4700.00,1.1458
4699.00,1.1458
4698.00,1.1458
4697.00,1.1457
4696.00,1.1457
4695.00,1.1456
4694.00,1.1455
4693.00,1.1454
4692.00,1.1453
4691.00,1.1452
4690.00,1.1452
4689.00,1.1451
4688.00,1.1451
4687.00,1.1450
4686.00,1.1450
4685.00,1.1450
4684.00,1.1449
4683.00,1.1448
4682.00,1.1448
4681.00,1.1448
4680.00,1.1448
4679.00,1.1448
4678.00,1.1448
4677.00,1.1448
4676.00,1.1447
4675.00,1.1448
4674.00,1.1448
4673.00,1.1448
4672.00,1.1448
4671.00,1.1447
4670.00,1.1447
4669.00,1.1447
4668.00,1.1448
4667.00,1.1448
4666.00,1.1449
4665.00,1.1449
4664.00,1.1449
4663.00,1.1448
4662.00,1.1448
4661.00,1.1448
4660.00,1.1447
4659.00,1.1446
4658.00,1.1446
4657.00,1.1445
4656.00,1.1445
4655.00,1.1445
4654.00,1.1445
4653.00,1.1445
4652.00,1.1445
4651.00,1.1446
4650.00,1.1447
4649.00,1.1447
4648.00,1.1447
4647.00,1.1447
4646.00,1.1447
4645.00,1.1447
4644.00,1.1447
4643.00,1.1447
4642.00,1.1446
4641.00,1.1446
4640.00,1.1446
4639.00,1.1446
4638.00,1.1446
4637.00,1.1446
4636.00,1.1446
4635.00,1.1446
4634.00,1.1447
4633.00,1.1447
4632.00,1.1447
4631.00,1.1447
4630.00,1.1446
4629.00,1.1446
4628.00,1.1445
4627.00,1.1445
4626.00,1.1445
